Serving HTTP on 0.0.0.0 port 3000 (http://0.0.0.0:3000/) ...
127.0.0.1 - - [06/Aug/2026 21:30:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:15] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:15] "GET /owner/pose-1-holding-plate.webp HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:15] "GET /assets/index-Kr08o65F.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:15] "GET /assets/index-BmT6ZhOI.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:16] "GET /brand/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:16] "GET /backgrounds/night-stall.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:16] code 404, message File not found
127.0.0.1 - - [06/Aug/2026 21:30:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Aug/2026 21:30:26] "GET /backgrounds/dine-in-cozy.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:26] "GET /owner/pose-6-presenting.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:26] "GET /backgrounds/coffee-pattern-v2.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:42] "GET /backgrounds/customer-served.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:30:42] "GET /owner/pose-7-leaning-transparent.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:37] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:38] "GET /owner/pose-1-holding-plate.webp HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:38] "GET /assets/index-Kr08o65F.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:38] "GET /assets/index-BmT6ZhOI.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:39] "GET /brand/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:39] "GET /backgrounds/night-stall.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:44] "GET /backgrounds/night-taxi.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:44] "GET /backgrounds/takeaway-bustling.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:45] "GET /backgrounds/dine-in-cozy.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:47] "GET /owner/pose-6-presenting.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:31:47] "GET /backgrounds/coffee-pattern-v2.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:32:01] "GET /owner/pose-7-leaning-transparent.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:32:01] "GET /backgrounds/customer-served.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:35:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:35:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:36:23] "GET / HTTP/1.1" 200 -
